DateTime,AddedIPs,RemovedIPs
1510349314,37,29
1510349437,0,255
1510350794,367,276
1510351240,79,50
1510352108,156,296
1510353163,188,28
1510353609,132,239
1510355567,275,303
1510356320,155,1
1510357538,121,358
1510359007,228,181
1510359635,29,31
1510360234,256,0
1510361108,276,314
1510361539,45,24
1510362906,227,355
1510363454,44,31
1510363808,172,323
1510364527,91,121
1510365380,29,282
1510365648,155,247
1510366507,140,1
1510367300,38,26
1510367435,118,0
1510368307,143,333
1510369220,88,46
1510369806,261,387
1510370707,130,0
1510371138,41,36
1510371727,170,487
1510372849,182,259
1510373060,41,20
1510373708,155,1
1510374635,178,352
1510374982,37,23
1510375508,153,0
1510375813,0,1274
1510376902,60,19
1510377253,250,330
1510378208,106,320
1510378812,36,36
1510379107,246,122
1510379766,131,1
1510380738,795,271
1510381844,254,0
1510382655,360,434
1510383013,216,1
1510384098,229,471
1510384599,36,23
1510386135,292,635
1510386504,52,19
1510386967,67,0
1510388119,75,334
1510388658,43,14
1510389609,162,416
1510390576,127,34
1510391409,81,467
1510392498,125,25
1510393508,80,558
1510394444,151,314
1510395315,67,36
1510396346,24,25
1510396507,98,617
1510397500,73,172
1510398261,29,31
1510398607,86,272
1510399507,75,1
1510400227,25,31
1510400416,82,635
1510401309,69,0
1510402106,31,284
1510402516,69,440
1510403450,0,254
1510404014,19,23
1510404317,0,36162
1510405190,35624,0
1510405946,26,28
1510406114,67,2
1510407868,30,30
1510408567,179,407
1510409409,65,390
1510409783,33,26
1510410240,52,0
1510411213,80,513
1510411712,15,22
1510412167,56,1
1510413255,70,283
1510413614,30,25
1510414213,59,357
1510415106,58,122
1510415559,13,35
1510416047,65,265
1510416907,115,1
1510417696,26,21
1510417826,78,377
1510419633,19,22
1510420206,175,300
1510421410,87,276
1510421536,74,1380
1510422308,59,99
1510424458,4927,199
1510424888,2982,0
1510426355,30,31
1510427706,405,621
1510428253,27,20
1510428265,55,0
1510428658,0,246
1510430176,21,24
1510431208,324,562
1510432093,20,25
1510433107,1048,308
1510434041,30,48
1510434906,543,313
1510435594,291,6
1510435941,31,20
1510436618,282,398
1510437526,231,198
1510437865,29,21
1510438513,194,45
1510439784,34,27
1510440043,396,279
1510441714,25,21
1510442108,389,322
1510442407,159,0
1510443307,224,247
1510443643,25,23
1510443727,89,111
1510444567,194,0
1510445489,18,22
1510445722,971,254
1510446630,157,309
1510447449,29,27
1510447508,108,146
1510449387,310,265
1510450093,159,0
1510451107,450,467
1510451299,19,42
1510451766,141,2
1510452957,128,312
1510453220,19,32
1510453687,75,4
1510455164,22,31
1510455752,132,736
1510456508,56,27
1510457052,20,45
1510457407,62,387
1510458979,26,33
1510459063,119,121
1510460108,87,243
1510460891,29,35
1510461012,56,309
1510461727,49,89
1510462829,93,49
1510463406,54,238
1510464607,85,284
1510464732,22,27
1510465508,303,88
1510466654,633,0
1510467308,101,248
1510468087,54,1
1510468593,22,27
1510469107,64,543
1510470499,19,20
1510471807,165,739
1510472409,28,23
1510472707,63,0
